Ad Name,Category,Month,Year,Attribution setting,Result Type,Marketing Channel,Results,Conversions,Total Sales,Reach,Impressions,Cost per result,Advertising Budget,Frequency,Clicks (all),CPC (all),CTR (all),"CPM (cost per 1,000 impressions)",Page engagement,Follows or likes,Post comments,Post engagements,Post reactions,Post saves,Post shares,Photo views,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video plays,ThruPlays,Link clicks,CTR (link click-through rate),Unique CTR (link click-through rate),Unique link clicks,Outbound CTR (click-through rate),CPC (cost per link click),Cost per unique link click,Cost per outbound click
Teentastic (FB),Casual wear,9,2022,7-day click or 1-day view,Messaging conversations started,Consideration,307,89,3635800,162557,524708,361.56,111000,3.22784008,49679,2.23434449,9.46793264,211.5462314,45641,,23,45641,1483,123,45,40273,,,,,,,,3694,0.70401061,2.02882681,3298,0.03487654,30.04872767,33.65676167,606.5573771
Memoir of Grace,Party wear,10,2022,7-day click or 1-day view,Website purchases,Conversion,75,75,3010550,69936,305183,1211.5,90862,4.36374685,13010,6.98404381,4.26301596,297.7309024,40717,1,8,40716,470,53,25,,45516,24987,18227,14772,14129,184090,13993,5263,1.72453905,5.56508808,3892,1.72322836,17.26437583,23.34594296,17.27750713
Glamour Look,Party wear,12,2022,7-day click or 1-day view,Messaging conversations started,Consideration,382,89,3575200,118624,354820,235.6,90000,2.99113164,64549,1.39428961,18.19204103,253.6497379,59223,72,27,59151,1979,196,104,50502,,,,,,,,6343,1.78766699,4.58086053,5434,0.11386055,14.18886962,16.56238498,222.7722772
Symbol of splendour,Party wear,11,2022,7-day click or 1-day view,Messaging conversations started,Consideration,400,71,2852000,139616,499251,225,90000,3.57588672,78859,1.14127747,15.7954616,180.2700445,71646,158,35,71488,2083,185,75,59239,,,,,,,,9871,1.97716179,5.93628237,8288,0.10756113,9.11761726,10.85907336,167.5977654
Casual Wear Collection FB,Casual wear,10,2022,7-day click or 1-day view,Messaging conversations started,Consideration,237,49,1625000,172577,496882,379.75,90000,2.87919016,54366,1.65544642,10.94143076,181.1295237,51646,,18,51646,1465,94,65,45423,,,,,,,,4581,0.92194928,2.37343331,4096,0.05172254,19.64636542,21.97265625,350.1945525
Teentastic (IG),Casual wear,9,2022,7-day click or 1-day view,Messaging conversations started,Consideration,104,64,1758560,81854,244108,711.54,74000,2.98223667,4638,15.95515308,1.8999787,303.1445098,828,,1,828,397,45,13,,,,,,,,,372,0.15239156,0.44469421,364,,198.9247312,203.2967033,
Work Elegance (IG),Workwear,9,2022,7-day click or 1-day view,Messaging conversations started,Consideration,151,75,1869040,86111,283139,488.08,73700,3.28807005,4845,15.21155831,1.71117366,260.2961796,1255,,1,1255,572,93,33,,,,,,,,,556,0.19636998,0.59806529,515,,132.5539568,143.1067961,
Work Elegance,Workwear,9,2022,7-day click or 1-day view,Landing page views,Consideration,7617,31,1025650,295356,1042351,9.66,73600,3.52913433,17692,4.16007235,1.69731693,70.60961231,14851,,2,14851,269,22,6,,,,,,,,,14552,1.39607483,3.72702772,11008,1.36048222,5.05772402,6.68604651,5.19004302
White by Panthera (FB),White,8,2022,7-day click or 1-day view,Messaging conversations started,Consideration,336,154,7145200,180383,465916,219.05,73600,2.58292633,52999,1.38870545,11.37522644,157.9683892,49537,2,19,49535,1525,141,55,43543,,,,,,,,4252,0.91261086,2.07669237,3746,0.05988204,17.30950141,19.64762413,263.7992832
Work Elegance (FB),Workwear,9,2022,7-day click or 1-day view,Messaging conversations started,Consideration,449,89,2086410,119877,438441,159.07,71423,3.65742386,58770,1.21529879,13.4043121,162.902443,55365,,27,55365,1604,121,17,49092,,,,,,,,4504,1.02727619,3.16157395,3790,0.08553032,15.85770648,18.84514776,190.4616267
